Date,Open,High,Low,Close,Adj Close,Volume
1995-09-28,7.125,7.1875,7.0625,7.1875,6.665140628814697,68600
1995-09-29,7.125,7.1875,7.125,7.1875,6.665140628814697,12200
1995-10-02,7.1875,7.1875,7.0625,7.125,6.607182502746582,77400
1995-10-03,7.125,7.125,6.75,6.75,6.259437561035156,141400
1995-10-04,6.625,6.625,6.5625,6.5625,6.085563659667969,49000
1995-10-05,6.4375,7.375,6.4375,7.375,6.83901309967041,180400
1995-10-06,7.5625,7.5625,7.4375,7.5625,7.0128865242004395,64800
1995-10-09,7.5,7.5,7.3125,7.3125,6.781055450439453,46200
1995-10-10,7.3125,7.3125,7.25,7.3125,6.781055450439453,22800
1995-10-11,7.3125,7.3125,7.3125,7.3125,6.781055450439453,3400
1995-10-12,7.375,7.4375,7.3125,7.375,6.83901309967041,20200
1995-10-13,7.4375,7.5,7.4375,7.5,6.954929351806641,6800
1995-10-16,7.5,7.5,7.4375,7.4375,6.89697265625,7400
1995-10-17,7.4375,7.5,7.25,7.3125,6.781055450439453,264800
1995-10-18,7.25,7.25,6.75,6.75,6.259437561035156,54400
1995-10-19,6.75,6.875,6.625,6.75,6.259437561035156,108800
1995-10-20,6.75,6.75,6.5,6.5,6.027605056762695,17000
1995-10-23,6.3125,6.4375,6.25,6.3125,5.853731632232666,414800
1995-10-24,6.3125,6.375,6.25,6.25,5.795774459838867,174400
1995-10-25,6.3125,6.375,6.1875,6.375,5.9116902351379395,941600
1995-10-26,6.4375,6.4375,6.1875,6.1875,5.737818241119385,50000
1995-10-27,6.1875,6.1875,6.0,6.0,5.563941478729248,64400
1995-10-30,6.0,6.0,5.0625,5.125,4.752533435821533,244400
1995-10-31,5.125,5.125,4.3125,4.375,4.057042598724365,1446200
1995-11-01,4.375,4.5625,4.3125,4.5,4.172957420349121,787000
1995-11-02,4.5,4.6875,4.5,4.6875,4.346831321716309,427800
1995-11-03,4.75,5.125,4.6875,5.125,4.752533435821533,153400
1995-11-06,5.25,5.3125,4.8125,4.875,4.5207037925720215,100200
1995-11-07,4.875,4.9375,4.8125,4.875,4.5207037925720215,32600
1995-11-08,4.9375,5.0,4.875,4.9375,4.578662872314453,60800
1995-11-09,5.0,5.0,4.75,4.75,4.404789924621582,37200
1995-11-10,4.75,4.8125,4.5625,4.5625,4.2309160232543945,71400
1995-11-13,4.5625,4.5625,4.375,4.4375,4.119515419006348,59200
1995-11-14,4.5,4.6875,4.4375,4.5,4.177535533905029,82600
1995-11-15,4.4375,4.5625,4.4375,4.5,4.177535533905029,21400
1995-11-16,4.5,4.5625,4.4375,4.5625,4.235557556152344,19400
1995-11-17,4.5625,4.5625,4.4375,4.4375,4.119515419006348,23400
1995-11-20,4.5,4.625,4.4375,4.5625,4.235557556152344,29200
1995-11-21,4.625,4.625,4.4375,4.625,4.293580055236816,50200
1995-11-22,4.625,4.6875,4.5,4.5625,4.235557556152344,70600
1995-11-24,4.5625,4.5625,4.5,4.5625,4.235557556152344,22400
1995-11-27,4.625,4.625,4.5,4.5,4.177535533905029,151200
1995-11-28,4.4375,4.5625,4.375,4.5625,4.235557556152344,590800
1995-11-29,4.625,4.625,4.5625,4.625,4.293580055236816,18800
1995-11-30,4.6875,4.75,4.625,4.625,4.293580055236816,137400
1995-12-01,4.625,4.6875,4.625,4.6875,4.351600170135498,145200
1995-12-04,4.625,4.6875,4.625,4.6875,4.351600170135498,15800
1995-12-05,4.6875,4.6875,4.4375,4.4375,4.119515419006348,36200
1995-12-06,4.4375,4.5,4.3125,4.3125,4.003473281860352,41400
1995-12-07,4.375,4.5,4.3125,4.5,4.177535533905029,124800
1995-12-08,4.4375,4.5,4.375,4.4375,4.119515419006348,68600
1995-12-11,4.375,4.4375,4.375,4.375,4.061492919921875,36600
1995-12-12,4.4375,4.5,4.4375,4.4375,4.119515419006348,29800
1995-12-13,4.4375,4.4375,4.375,4.375,4.061492919921875,72400
1995-12-14,4.4375,4.4375,4.3125,4.375,4.061492919921875,400200
1995-12-15,4.3125,4.375,4.3125,4.375,4.061492919921875,39400
1995-12-18,4.5,4.625,4.4375,4.5,4.177535533905029,202400
1995-12-19,4.5,4.8125,4.4375,4.8125,4.467641830444336,232400
1995-12-20,4.8125,4.875,4.6875,4.75,4.409622669219971,182000
1995-12-21,4.75,4.75,4.625,4.6875,4.351600170135498,377400
1995-12-22,4.6875,4.75,4.625,4.6875,4.351600170135498,253800
1995-12-26,4.75,4.75,4.625,4.6875,4.351600170135498,386800
1995-12-27,4.75,5.125,4.6875,5.125,4.757747173309326,476600
1995-12-28,5.125,5.375,5.0625,5.25,4.873789310455322,366800
1995-12-29,5.3125,5.375,5.25,5.3125,4.931813716888428,171600
1996-01-02,5.3125,5.375,5.125,5.1875,4.81577205657959,88600
1996-01-03,5.1875,5.1875,4.875,5.0,4.641708850860596,101400
1996-01-04,4.9375,5.0625,4.9375,5.0,4.641708850860596,122600
1996-01-05,5.0,5.0,4.875,5.0,4.641708850860596,67800
1996-01-08,5.0,5.0,4.9375,4.9375,4.583685874938965,82600
1996-01-09,5.0,5.0,4.8125,4.8125,4.467641830444336,177400
1996-01-10,4.875,4.875,4.6875,4.6875,4.351600170135498,110400
1996-01-11,4.75,4.75,4.625,4.75,4.409622669219971,58000
1996-01-12,4.75,4.75,4.625,4.6875,4.351600170135498,73200
1996-01-15,4.75,4.75,4.6875,4.75,4.409622669219971,74000
1996-01-16,4.6875,4.75,4.625,4.625,4.293580055236816,56800
1996-01-17,4.6875,4.6875,4.625,4.625,4.293580055236816,64800
1996-01-18,4.5625,4.5625,4.4375,4.5625,4.235557556152344,122800
1996-01-19,4.5,4.625,4.4375,4.5625,4.235557556152344,64400
1996-01-22,4.625,4.6875,4.5625,4.625,4.293580055236816,38000
1996-01-23,4.625,4.6875,4.625,4.6875,4.351600170135498,51600
1996-01-24,4.625,4.625,4.5625,4.625,4.293580055236816,58800
1996-01-25,4.625,4.625,4.5,4.5625,4.235557556152344,73600
1996-01-26,4.5625,4.625,4.5,4.5625,4.235557556152344,31600
1996-01-29,4.625,4.625,4.5625,4.625,4.293580055236816,118600
1996-01-30,4.625,4.75,4.625,4.75,4.409622669219971,125000
1996-01-31,4.75,4.75,4.625,4.625,4.293580055236816,62000
1996-02-01,4.625,4.625,4.5625,4.625,4.293580055236816,53600
1996-02-02,4.5625,4.625,4.5,4.625,4.293580055236816,105600
1996-02-05,4.625,4.625,4.5,4.5625,4.235557556152344,427800
1996-02-06,4.5625,4.625,4.5,4.625,4.293580055236816,124200
1996-02-07,4.6875,4.9375,4.6875,4.875,4.52566385269165,349600
1996-02-08,4.9375,5.0,4.875,4.9375,4.583685874938965,295000
1996-02-09,4.9375,5.0,4.8125,4.875,4.52566385269165,115200
1996-02-12,4.875,5.125,4.875,5.0625,4.6997294425964355,73600
1996-02-13,5.0,5.25,5.0,5.25,4.873789310455322,131800
1996-02-14,5.3125,5.375,5.25,5.3125,4.931813716888428,64200
1996-02-15,5.375,5.375,5.25,5.25,4.873789310455322,91200
1996-02-16,5.3125,5.625,5.25,5.5625,5.163897514343262,146400
1996-02-20,5.6875,5.75,5.5,5.625,5.221920967102051,202600
1996-02-21,5.75,5.8125,5.5625,5.625,5.221920967102051,79600
1996-02-22,5.75,6.0625,5.75,5.875,5.454006195068359,390600
1996-02-23,5.9375,5.9375,5.8125,5.9375,5.512025833129883,99000
1996-02-26,5.9375,5.9375,5.75,5.75,5.337964057922363,181800
1996-02-27,5.8125,5.875,5.6875,5.75,5.337964057922363,44000
1996-02-28,5.75,5.75,5.625,5.6875,5.279940605163574,44200
1996-02-29,5.6875,5.75,5.625,5.75,5.337964057922363,30800
1996-03-01,5.75,5.875,5.75,5.75,5.337964057922363,42800
1996-03-04,5.75,5.9375,5.75,5.8125,5.395985126495361,170200
1996-03-05,5.8125,5.8125,5.75,5.8125,5.400629997253418,82000
1996-03-06,5.8125,5.8125,5.5,5.5625,5.168343544006348,75000
1996-03-07,5.625,5.625,5.5,5.5,5.110274314880371,55600
1996-03-08,5.375,5.4375,5.125,5.1875,4.81991720199585,122800
1996-03-11,5.125,5.3125,5.0625,5.3125,4.936060428619385,121200
1996-03-12,5.25,5.4375,5.1875,5.3125,4.936060428619385,201600
1996-03-13,5.375,5.625,5.375,5.4375,5.052203178405762,362000
1996-03-14,5.5,5.5,5.375,5.375,4.994130611419678,83400
1996-03-15,5.375,5.375,5.25,5.25,4.877989292144775,72400
